Study No,Title,Author(s),Publication_Type,Journal_Name,year_submitted,year_published,test,The original or translated version of  assessment tool?,Country ,Research Design,Research Design Details,Research Design Details Supporting Quote,math_level,School Level,university,Grade,number_of_classes,teaching_method,teaching_method_category,teaching_method_quote,Implementation Year,test_year,test_year_source,percent_female,percent_female_quote,Application Time of Posttest,number_who_took_Pre_test,pre_score,Pre-Score Supporting Quote,standard_deviation_pre,number_who_took_Post_test,post_score,Supporting Quote For Post Test Score,post_standard_deviatation,number_who_took_test_matched,students_in_row,Supporting Quote for Students in Row,Class_size_estimate,class_size,lecture_size,Supporting Quote for Class Size,Class_size_source,Class_size_cat,class_size_category,lecture_size_cat,lecture_size_category,Hake_Gain_reported,Supporting Quote for Hake Gain,gain source,Hake_Gain_calculated,hake_gain,Comment
2,Students' Conceptual Knowledge about Electricity and Magnetism and Its Implications: An Example of Turkish University,"Demirci, Neset",Journal Article,Science Education International,,2006,CSEM,Translated version,Turkey,Weak Experimental,Pre-test post-test NO control group,,CALC,Undergraduate,Balikesir University,freshmen,1,Peer Instruction ,IE,interview with author,2004,2004,"""After constructing the final translated version of the CSEM test, it was administered to all participants during the second week of spring semester of 2004 as a pre-test, and the last second week of the spring semester of 2004 as a post-test""",49.80%,"In the pretest there were a total 614 (318 were male (51.8 %), 296 were female (48.2 %)), in the posttest there were a total 544 (273 were male (50.2 %), and 271 were female (49.8 %))",Just after treatment,39,26.795,,1.605,30,49.394,,12.547,30,614,,30,30,30,,number_who_took_test_matched,0-50,1,0-50,1,30.85,,specifically mentioned in paper,0.309,0.31,
,Students' Conceptual Knowledge about Electricity and Magnetism and Its Implications: An Example of Turkish University,"Demirci, Neset",Journal Article,Science Education International,,2006,CSEM,Translated version,Turkey,Weak Experimental,,,CALC,,Balikesir University,,1,Peer Instruction,IE,interview with author,2004,2004,"""After constructing the final translated version of the CSEM test, it was administered to all participants during the second week of spring semester of 2004 as a pre-test, and the last second week of the spring semester of 2004 as a post-test""",49.80%,"In the pretest there were a total 614 (318 were male (51.8 %), 296 were female (48.2 %)), in the posttest there were a total 544 (273 were male (50.2 %), and 271 were female (49.8 %))",Just after treatment,29,26.379,,1.33,24,62.474,,16.587,24,544 Students matched,,24,24,24,,number_who_took_test_matched,0-50,1,0-50,1,49.03,,specifically mentioned in paper,0.49,0.49,
,Students' Conceptual Knowledge about Electricity and Magnetism and Its Implications: An Example of Turkish University,"Demirci, Neset",Journal Article,Science Education International,,2006,CSEM,Translated version,Turkey,Weak Experimental,,,CALC,,Balikesir University,,1,Peer Instruction,IE,interview with author,2004,2004,"""After constructing the final translated version of the CSEM test, it was administered to all participants during the second week of spring semester of 2004 as a pre-test, and the last second week of the spring semester of 2004 as a post-test""",49.80%,"In the pretest there were a total 614 (318 were male (51.8 %), 296 were female (48.2 %)), in the posttest there were a total 544 (273 were male (50.2 %), and 271 were female (49.8 %))",Just after treatment,47,20.702,,1.172,38,36.563,,9.955,38,,,38,38,38,,number_who_took_test_matched,0-50,1,0-50,1,20,,specifically mentioned in paper,0.2,0.2,
,Students' Conceptual Knowledge about Electricity and Magnetism and Its Implications: An Example of Turkish University,"Demirci, Neset",Journal Article,Science Education International,,2006,CSEM,Translated version,Turkey,Weak Experimental,,,CALC,,Balikesir University,,1,Peer Instruction,IE,interview with author,2004,2004,"""After constructing the final translated version of the CSEM test, it was administered to all participants during the second week of spring semester of 2004 as a pre-test, and the last second week of the spring semester of 2004 as a post-test""",49.80%,"In the pretest there were a total 614 (318 were male (51.8 %), 296 were female (48.2 %)), in the posttest there were a total 544 (273 were male (50.2 %), and 271 were female (49.8 %))",Just after treatment,26,33.807,,1.99,25,50.75,,9.567,25,,,25,25,25,,number_who_took_test_matched,0-50,1,0-50,1,25.6,,specifically mentioned in paper,0.256,0.26,
,Students' Conceptual Knowledge about Electricity and Magnetism and Its Implications: An Example of Turkish University,"Demirci, Neset",Journal Article,Science Education International,,2006,CSEM,Translated version,Turkey,Weak Experimental,,,CALC,,Balikesir University,,1,Peer Instruction,IE,interview with author,2004,2004,"""After constructing the final translated version of the CSEM test, it was administered to all participants during the second week of spring semester of 2004 as a pre-test, and the last second week of the spring semester of 2004 as a post-test""",49.80%,"In the pretest there were a total 614 (318 were male (51.8 %), 296 were female (48.2 %)), in the posttest there were a total 544 (273 were male (50.2 %), and 271 were female (49.8 %))",Just after treatment,30,24.7,,1.424,27,46.69,,10.422,27,,,27,27,27,,number_who_took_test_matched,0-50,1,0-50,1,29.2,,specifically mentioned in paper,0.292,0.29,
,Students' Conceptual Knowledge about Electricity and Magnetism and Its Implications: An Example of Turkish University,"Demirci, Neset",Journal Article,Science Education International,,2006,CSEM,Translated version,Turkey,Weak Experimental,,,CALC,,Balikesir University,,1,Peer Instruction,IE,interview with author,2004,2004,"""After constructing the final translated version of the CSEM test, it was administered to all participants during the second week of spring semester of 2004 as a pre-test, and the last second week of the spring semester of 2004 as a post-test""",49.80%,"In the pretest there were a total 614 (318 were male (51.8 %), 296 were female (48.2 %)), in the posttest there were a total 544 (273 were male (50.2 %), and 271 were female (49.8 %))",Just after treatment,46,29.065,,1.582,33,74.167,,8.828,33,,,33,33,33,,number_who_took_test_matched,0-50,1,0-50,1,63.58,,specifically mentioned in paper,0.636,0.64,
,Students' Conceptual Knowledge about Electricity and Magnetism and Its Implications: An Example of Turkish University,"Demirci, Neset",Journal Article,Science Education International,,2006,CSEM,Translated version,Turkey,Weak Experimental,,,CALC,,Balikesir University,,1,Peer Instruction,IE,interview with author,2004,2004,"""After constructing the final translated version of the CSEM test, it was administered to all participants during the second week of spring semester of 2004 as a pre-test, and the last second week of the spring semester of 2004 as a post-test""",49.80%,"In the pretest there were a total 614 (318 were male (51.8 %), 296 were female (48.2 %)), in the posttest there were a total 544 (273 were male (50.2 %), and 271 were female (49.8 %))",Just after treatment,37,25.622,,2.053,44,74.063,,8.109,44,,,44,44,44,,number_who_took_test_matched,0-50,1,0-50,1,65.89,,specifically mentioned in paper,0.651,0.65,
,Students' Conceptual Knowledge about Electricity and Magnetism and Its Implications: An Example of Turkish University,"Demirci, Neset",Journal Article,Science Education International,,2006,CSEM,Translated version,Turkey,Weak Experimental,,,CALC,,Balikesir University,,1,Peer Instruction,IE,interview with author,2004,2004,"""After constructing the final translated version of the CSEM test, it was administered to all participants during the second week of spring semester of 2004 as a pre-test, and the last second week of the spring semester of 2004 as a post-test""",49.80%,"In the pretest there were a total 614 (318 were male (51.8 %), 296 were female (48.2 %)), in the posttest there were a total 544 (273 were male (50.2 %), and 271 were female (49.8 %))",Just after treatment,84,31.702,,0.988,76,53.38,,13.947,76,,,76,76,76,,number_who_took_test_matched,51-100,2,51-100,2,31.74,,specifically mentioned in paper,0.317,0.32,
,Students' Conceptual Knowledge about Electricity and Magnetism and Its Implications: An Example of Turkish University,"Demirci, Neset",Journal Article,Science Education International,,2006,CSEM,Translated version,Turkey,Weak Experimental,,,CALC,,Balikesir University,,1,Peer Instruction,IE,interview with author,2004,2004,"""After constructing the final translated version of the CSEM test, it was administered to all participants during the second week of spring semester of 2004 as a pre-test, and the last second week of the spring semester of 2004 as a post-test""",49.80%,"In the pretest there were a total 614 (318 were male (51.8 %), 296 were female (48.2 %)), in the posttest there were a total 544 (273 were male (50.2 %), and 271 were female (49.8 %))",Just after treatment,26,24.846,,1.985,23,48.859,,17.698,23,,,23,23,23,,number_who_took_test_matched,0-50,1,0-50,1,31.95,,specifically mentioned in paper,0.32,0.32,
,Students' Conceptual Knowledge about Electricity and Magnetism and Its Implications: An Example of Turkish University,"Demirci, Neset",Journal Article,Science Education International,,2006,CSEM,Translated version,Turkey,Weak Experimental,,,CALC,,Balikesir University,,1,Peer Instruction,IE,interview with author,2004,2004,"""After constructing the final translated version of the CSEM test, it was administered to all participants during the second week of spring semester of 2004 as a pre-test, and the last second week of the spring semester of 2004 as a post-test""",49.80%,"In the pretest there were a total 614 (318 were male (51.8 %), 296 were female (48.2 %)), in the posttest there were a total 544 (273 were male (50.2 %), and 271 were female (49.8 %))",Just after treatment,40,21.875,,1.305,34,41.893,,16.067,34,,,34,34,34,,number_who_took_test_matched,0-50,1,0-50,1,25.62,,specifically mentioned in paper,0.256,0.26,
